Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.610542E+00     9.450274E-10     1.600378E-01     6.926613E-05     1.025354E-15     2.608729E-07     5.256386E-06     4.547429E-01  
   1.610847E+00     9.435917E-10     1.598529E-01     6.904776E-05     1.019861E-15     2.598029E-07     5.236790E-06     4.550831E-01  
   1.611305E+00     9.406037E-10     1.593134E-01     6.854340E-05     1.009728E-15     2.574419E-07     5.191349E-06     4.558625E-01  
   1.611764E+00     9.394862E-10     1.593121E-01     6.834180E-05     1.002362E-15     2.563178E-07     5.172977E-06     4.560613E-01  
   1.612069E+00     9.378939E-10     1.590346E-01     6.802597E-05     9.956516E-16     2.548101E-07     5.144361E-06     4.564877E-01  
   1.612527E+00     9.346449E-10     1.583258E-01     6.734560E-05     9.834917E-16     2.516822E-07     5.082744E-06     4.574296E-01  
   1.612985E+00     9.333987E-10     1.581932E-01     6.700994E-05     9.750288E-16     2.500154E-07     5.052116E-06     4.577665E-01  
   1.613291E+00     9.317602E-10     1.577867E-01     6.656016E-05     9.673206E-16     2.479806E-07     5.011427E-06     4.583451E-01  
   1.613596E+00     9.299122E-10     1.573421E-01     6.607338E-05     9.589322E-16     2.457690E-07     4.967221E-06     4.589282E-01  
   1.613902E+00     9.280848E-10     1.568603E-01     6.554910E-05     9.503462E-16     2.434192E-07     4.919748E-06     4.595625E-01  
   1.614360E+00     9.242280E-10     1.557514E-01     6.446456E-05     9.341664E-16     2.386456E-07     4.821708E-06     4.608804E-01  
   1.614971E+00     9.200763E-10     1.545183E-01     6.315878E-05     9.143459E-16     2.329097E-07     4.704153E-06     4.623872E-01  
   1.615482E+00     9.172719E-10     1.536480E-01     6.216343E-05     8.990516E-16     2.285515E-07     4.614961E-06     4.634906E-01  
   1.615895E+00     9.143174E-10     1.526251E-01     6.110796E-05     8.843056E-16     2.240278E-07     4.520961E-06     4.647200E-01  
   1.616307E+00     9.111172E-10     1.515147E-01     5.997527E-05     8.685812E-16     2.191931E-07     4.420460E-06     4.660120E-01  
   1.616719E+00     9.078859E-10     1.503162E-01     5.876936E-05     8.523807E-16     2.141034E-07     4.314169E-06     4.674126E-01  
   1.617132E+00     9.046138E-10     1.490261E-01     5.748970E-05     8.356755E-16     2.087597E-07     4.202171E-06     4.689262E-01  
   1.617544E+00     9.011364E-10     1.476349E-01     5.612838E-05     8.180441E-16     2.032509E-07     4.082939E-06     4.705380E-01  
   1.617956E+00     8.975053E-10     1.461460E-01     5.469391E-05     7.996868E-16     1.974828E-07     3.958342E-06     4.722521E-01  
   1.618369E+00     8.937328E-10     1.445580E-01     5.318886E-05     7.806490E-16     1.914708E-07     3.828785E-06     4.740760E-01  
   1.618914E+00     8.873828E-10     1.418577E-01     5.075967E-05     7.507352E-16     1.818625E-07     3.622160E-06     4.771078E-01  
   1.619422E+00     8.841544E-10     1.405201E-01     4.940417E-05     7.322312E-16     1.764528E-07     3.507928E-06     4.786849E-01  
   1.619760E+00     8.805427E-10     1.389419E-01     4.799931E-05     7.147501E-16     1.709530E-07     3.390771E-06     4.804775E-01  
   1.620099E+00     8.768093E-10     1.372956E-01     4.655980E-05     6.968818E-16     1.653485E-07     3.271769E-06     4.823518E-01  
   1.620438E+00     8.728823E-10     1.355801E-01     4.508731E-05     6.785147E-16     1.596393E-07     3.151080E-06     4.842969E-01  
   1.620946E+00     8.650287E-10     1.322182E-01     4.235806E-05     6.448525E-16     1.491472E-07     2.930163E-06     4.880363E-01  
   1.621454E+00     8.607234E-10     1.304421E-01     4.080270E-05     6.238407E-16     1.431349E-07     2.805771E-06     4.900914E-01  
   1.621792E+00     8.559906E-10     1.284687E-01     3.924428E-05     6.039515E-16     1.371971E-07     2.682399E-06     4.923114E-01  
   1.622300E+00     8.467472E-10     1.246846E-01     3.642099E-05     5.681622E-16     1.265377E-07     2.461883E-06     4.965343E-01  
   1.622808E+00     8.415773E-10     1.226553E-01     3.482753E-05     5.462489E-16     1.204979E-07     2.339081E-06     4.988878E-01  
   1.623147E+00     8.361395E-10     1.205889E-01     3.334625E-05     5.265276E-16     1.149420E-07     2.226015E-06     5.012210E-01  
   1.623655E+00     8.249119E-10     1.163662E-01     3.049165E-05     4.886155E-16     1.043390E-07     2.011044E-06     5.059228E-01  
   1.624197E+00     8.167174E-10     1.134182E-01     2.849846E-05     4.606477E-16     9.695596E-08     1.863282E-06     5.092889E-01  
   1.624604E+00     8.083001E-10     1.104674E-01     2.663754E-05     4.346736E-16     9.012909E-08     1.727062E-06     5.126199E-01  
   1.625215E+00     7.915246E-10     1.048929E-01     2.337526E-05     3.884252E-16     7.827797E-08     1.492295E-06     5.188539E-01  
   1.625826E+00     7.815696E-10     1.018059E-01     2.158091E-05     3.612134E-16     7.177939E-08     1.365521E-06     5.224187E-01  
   1.626233E+00     7.709044E-10     9.860022E-02     1.988085E-05     3.357431E-16     6.569194E-08     1.246874E-06     5.260507E-01  
   1.626640E+00     7.595606E-10     9.533941E-02     1.823769E-05     3.106377E-16     5.984742E-08     1.133634E-06     5.297516E-01  
   1.627047E+00     7.475057E-10     9.202972E-02     1.665720E-05     2.860111E-16     5.426443E-08     1.026096E-06     5.335151E-01  
   1.627457E+00     7.345412E-10     8.863438E-02     1.512595E-05     2.616847E-16     4.889432E-08     9.232217E-07     5.373838E-01  
   1.627870E+00     7.207520E-10     8.519135E-02     1.366354E-05     2.380012E-16     4.380466E-08     8.262285E-07     5.413216E-01  
   1.628489E+00     6.935349E-10     7.884922E-02     1.122601E-05     1.977094E-16     3.542121E-08     6.673676E-07     5.485424E-01  
   1.629108E+00     6.770484E-10     7.532307E-02     9.949648E-06     1.755310E-16     3.106937E-08     5.858089E-07     5.526719E-01  
   1.629521E+00     6.598233E-10     7.178376E-02     8.793493E-06     1.555050E-16     2.717595E-08     5.128379E-07     5.567636E-01  
   1.629933E+00     6.416301E-10     6.823077E-02     7.719394E-06     1.366304E-16     2.359493E-08     4.459288E-07     5.608845E-01  
   1.630346E+00     6.224424E-10     6.467322E-02     6.728325E-06     1.189837E-16     2.032584E-08     3.850015E-07     5.650274E-01  
   1.630965E+00     5.851646E-10     5.822584E-02     5.149726E-06     9.051223E-17     1.520597E-08     2.896743E-07     5.725368E-01  
   1.631584E+00     5.625742E-10     5.464069E-02     4.361118E-06     7.591063E-17     1.269237E-08     2.430024E-07     5.768255E-01  
   1.631996E+00     5.392662E-10     5.109587E-02     3.672033E-06     6.327279E-17     1.053206E-08     2.027322E-07     5.810272E-01  
   1.632409E+00     5.148201E-10     4.756619E-02     3.056473E-06     5.197457E-17     8.632460E-09     1.672435E-07     5.852335E-01  
   1.632822E+00     4.891842E-10     4.405061E-02     2.510562E-06     4.198161E-17     6.976533E-09     1.361943E-07     5.894461E-01  
   1.633441E+00     4.398426E-10     3.774483E-02     1.693784E-06     2.721440E-17     4.563644E-09     9.057154E-08     5.970301E-01  
   1.634053E+00     4.114197E-10     3.439614E-02     1.330851E-06     2.070990E-17     3.522286E-09     7.070349E-08     6.011717E-01  
   1.634452E+00     3.819006E-10     3.106624E-02     1.025703E-06     1.539532E-17     2.667084E-09     5.417304E-08     6.052529E-01  
   1.635051E+00     3.254506E-10     2.511910E-02     5.970319E-07     8.229841E-18     1.505428E-09     3.128769E-08     6.126322E-01  
